City_ID,City,Lat,Lng,Description,Max Temp,Humidity,Cloudiness,Wind Speed,Country
181,Bud,39.447,-86.1758,overcast clouds,60.89,63,100,23.33,US
182,Vestmannaeyjar,63.4427,-20.2734,overcast clouds,31.19,100,100,20.71,IS
183,Registro,-24.4875,-47.8436,broken clouds,67.8,97,67,0.96,BR
184,Eureka,40.8021,-124.1637,clear sky,51.75,86,5,8.01,US
185,Mont-Dore,-22.2833,166.5833,light rain,84.99,99,100,11.43,NC
186,Pampa,35.5362,-100.9599,overcast clouds,45.55,61,100,16.11,US
187,Makakilo City,21.3469,-158.0858,few clouds,73.62,72,20,11.1,US
188,Saskylakh,71.9167,114.0833,broken clouds,-24.48,97,66,7.45,RU
189,Raudeberg,61.9875,5.1352,overcast clouds,35.2,94,100,5.77,NO
190,San Patricio,28.017,-97.5169,scattered clouds,70.21,86,30,21.92,US
191,Chicama,-7.8447,-79.1469,overcast clouds,71.92,76,100,7.29,PE
192,Cidreira,-30.1811,-50.2056,clear sky,72.37,83,0,14.79,BR
193,Orchard Homes,46.8633,-114.0484,overcast clouds,30.6,86,100,3.44,US
194,North Bend,43.4065,-124.2243,scattered clouds,47.86,96,40,5.75,US
195,Guarapari,-20.6667,-40.4975,broken clouds,75.09,91,75,5.64,BR
196,Severo-Kurilsk,50.6789,156.125,light snow,28.99,92,100,8.08,RU
197,Marsa Matruh,31.3525,27.2453,overcast clouds,54.72,66,100,4.79,EG
198,Nanortalik,60.1432,-45.2371,broken clouds,9.66,69,76,28.97,GL
199,Dongsheng,39.8161,109.9776,light snow,28.58,80,100,15.66,CN
200,Sarangani,5.4033,125.4636,moderate rain,82.09,70,100,16.51,PH
201,Sfantu Gheorghe,45.8667,25.7833,few clouds,34.93,95,14,0.56,RO
202,Vardo,70.3705,31.1107,overcast clouds,23.2,64,100,12.73,NO
203,Narsaq,60.9167,-46.05,few clouds,-0.18,85,22,6.58,GL
204,Kahului,20.8947,-156.47,broken clouds,75.97,84,56,5.99,US
205,Portland,45.5234,-122.6762,broken clouds,49.95,86,75,3.44,US
206,Quang Ngai,15.1167,108.8,scattered clouds,81.32,73,50,5.75,VN
207,Cabo San Lucas,22.8909,-109.9124,scattered clouds,69.1,70,33,12.64,MX
208,Lasa,46.6166,10.7002,overcast clouds,32.74,90,100,6.29,IT
209,Saint-Georges,12.0564,-61.7485,scattered clouds,74.88,88,40,11.5,GD
210,Bonthe,7.5264,-12.505,broken clouds,77.56,90,66,4.14,SL
211,Viedma,-40.8135,-62.9967,clear sky,58.89,55,3,4.72,AR
212,Klaksvik,62.2266,-6.589,overcast clouds,34.72,71,100,17.0,FO
213,Mattru,7.6244,-11.8332,light rain,74.01,96,24,1.07,SL
214,Lebu,-37.6167,-73.65,clear sky,57.25,79,0,18.39,CL
215,Davila,18.4726,120.5763,scattered clouds,81.43,66,38,8.63,PH
216,Faanui,-16.4833,-151.75,few clouds,81.32,72,12,13.87,PF
217,Manthani,18.65,79.6667,broken clouds,78.39,53,54,5.32,IN
218,Nalut,30.3333,10.85,clear sky,44.1,43,0,7.16,LY
219,La Paz,-16.5,-68.15,overcast clouds,45.18,83,91,6.06,BO
220,Shebalino,51.2917,85.6772,overcast clouds,8.55,73,100,4.09,RU
